name_1006,upregulated,n
peptide antigen assembly with MHC class I protein complex,TRUE,1
Peyer's patch development,FALSE,1
phosphatidylinositol catabolic process,FALSE,1
phosphatidylinositol dephosphorylation,FALSE,1
phosphatidylinositol-mediated signaling,FALSE,1
phosphorylation,TRUE,1
piRNA metabolic process,TRUE,1
positive regulation of activated T cell proliferation,FALSE,1
positive regulation of apoptotic process,TRUE,1
positive regulation of B cell differentiation,FALSE,1
positive regulation of canonical Wnt signaling pathway,TRUE,1
positive regulation of cell migration,FALSE,1
positive regulation of cell population proliferation,FALSE,1
positive regulation of cyclin-dependent protein serine/threonine kinase activity,TRUE,1
positive regulation of erythrocyte differentiation,FALSE,1
positive regulation of fibroblast growth factor production,FALSE,1
positive regulation of gamma-delta T cell differentiation,FALSE,1
positive regulation of gene expression,FALSE,1
positive regulation of GTPase activity,FALSE,1
positive regulation of inflammatory response,FALSE,1
positive regulation of inflammatory response,TRUE,1
positive regulation of interleukin-1 beta production,TRUE,1
positive regulation of interleukin-2 production,FALSE,1
positive regulation of lymphocyte differentiation,FALSE,1
positive regulation of mitotic cell cycle,FALSE,1
positive regulation of multicellular organism growth,FALSE,1
positive regulation of natural killer cell differentiation,FALSE,1
positive regulation of natural killer cell mediated cytotoxicity,FALSE,1
positive regulation of natural killer cell proliferation,FALSE,1
positive regulation of necroptotic process,TRUE,1
positive regulation of receptor recycling,FALSE,1
positive regulation of smooth muscle cell migration,FALSE,1
positive regulation of smooth muscle cell proliferation,FALSE,1
positive regulation of transcription by RNA polymerase II,FALSE,1
positive regulation of transcription by RNA polymerase II,TRUE,1
positive regulation of type I interferon-mediated signaling pathway,TRUE,1
"positive regulation of Wnt signaling pathway, planar cell polarity pathway",TRUE,1
post-transcriptional regulation of gene expression,TRUE,1
progesterone metabolic process,FALSE,1
programmed cell death,TRUE,1
protein-containing complex assembly,TRUE,1
proteolysis,FALSE,1
pyrimidine nucleotide biosynthetic process,TRUE,1
pyroptosis,TRUE,1
receptor signaling pathway via JAK-STAT,FALSE,1
regulation of canonical Wnt signaling pathway,TRUE,1
regulation of cell adhesion,FALSE,1
regulation of cell motility,FALSE,1
regulation of cell population proliferation,FALSE,1
regulation of cyclin-dependent protein serine/threonine kinase activity,TRUE,1
regulation of endocytic recycling,FALSE,1
regulation of epithelial cell differentiation,FALSE,1
regulation of gene expression,TRUE,1
"regulation of gene expression, epigenetic",TRUE,1
regulation of inflammatory response,TRUE,1
regulation of interleukin-1-mediated signaling pathway,TRUE,1
regulation of multicellular organism growth,FALSE,1
regulation of protein complex stability,TRUE,1
regulation of protein kinase activity,TRUE,1
regulation of protein kinase B signaling,FALSE,1
regulation of protein phosphorylation,TRUE,1
regulation of steroid metabolic process,FALSE,1
regulation of transcription by RNA polymerase II,FALSE,1
regulation of transcription by RNA polymerase II,TRUE,1
"regulation of transcription, DNA-templated",FALSE,1
"regulation of transcription, DNA-templated",TRUE,1
regulation of translational termination,TRUE,1
response to estradiol,FALSE,1
response to interferon-beta,TRUE,1
response to interferon-gamma,TRUE,1
response to interleukin-15,FALSE,1
response to interleukin-2,FALSE,1
response to interleukin-4,FALSE,1
response to lipopolysaccharide,FALSE,1
response to peptide hormone,FALSE,1
response to stimulus,FALSE,1
response to stimulus,TRUE,1
response to type I interferon,TRUE,1
response to type III interferon,TRUE,1
"RNA phosphodiester bond hydrolysis, endonucleolytic",TRUE,1
rRNA catabolic process,TRUE,1
semaphorin-plexin signaling pathway,FALSE,1
sensory perception of smell,FALSE,1
sex differentiation,FALSE,1
spermatogenesis,FALSE,1
T cell differentiation in thymus,FALSE,1
T cell homeostasis,FALSE,1
taurine metabolic process,FALSE,1
transcription by RNA polymerase II,FALSE,1
triglyceride biosynthetic process,FALSE,1
tRNA catabolic process,TRUE,1
UDP catabolic process,FALSE,1
viral translational frameshifting,TRUE,1
